COD_MSC;COD_CCAA;COD_EUROST;DENOMINACI;EUSTAT;Municipio;MUN_PROV;TERRITORIO;url_ficha;X_UTM;Y_UTM
1.746;CPV01008C;ES21100008C01008C;EMBALSE ULLIBARRI GAMBOA-LANDA;1.008;Arratzua-Ubarrundia;1;ARABA;Landa.pdf;533.563;4.755.713
1.746;CPV01008C;ES21100008C01008C;EMBALSE ULLIBARRI GAMBOA-LANDA;1.008;Arratzua-Ubarrundia;1;ARABA;Landa.pdf;533.612;4.755.453
1.619;CPV01008B;ES21100008C01008B;EMBALSE ULLIBARRI GAMBOA-ISLA ZUHATZA IRLA;1.008;Arratzua-Ubarrundia;1;ARABA;zuatza-irla.pdf;533.257;4.753.213
1.748;CPV01013B;ES21100013C01013B;EMBALSE ULLIBARRI GAMBOA-GARAIO;1.013;Barrundia;1;ARABA;garaio.pdf;537.329;4.750.736
1.748;CPV01013B;ES21100013C01013B;EMBALSE ULLIBARRI GAMBOA-GARAIO;1.013;Barrundia;1;ARABA;garaio.pdf;537.039;4.750.091
530;MPV20061A;ES21200061M20061A;PLAYA DE ANTILLA;20.061;Orio;20;GIPUZKOA;Antilla.pdf;570.724;4.793.299
540;MPV48017A;ES21300017M48017A;PLAYA DE ARITZATXU;48.017;Bermeo;48;BIZKAIA;Aritzatxu.pdf;521.889;4.808.149
2.036;MPV48056A;ES21300056M48056A;PLAYA DE ARMINTZA;48.056;Lemoiz;48;BIZKAIA;508.700;4.808.870
557;MPV48085B;ES21300085M48085B;PLAYA DE ARRIATERA-ATXABIRIBIL;48.085;Sopelana;48;BIZKAIA;Arriatera-Atxabiribil.pdf;500.281;4.803.977
552;MPV48073A;ES21300073M48073A;PLAYA DE ARRIGORRI;48.073;Ondarroa;48;BIZKAIA;Arrigorri.pdf;547.205;4.796.895
544;MPV48044C;ES21300044M48044C;PLAYA DE ARRIGUNAGA;48.044;Getxo;48;BIZKAIA;Arrigunaga.pdf;498.388;4.800.315
543;MPV48044B;ES21300044M48044B;PLAYA DE AZKORRI (GORRONDATXE);48.044;Getxo;48;BIZKAIA;Azkorri-Gorrondatxe.pdf;498.674;4.803.099
539;MPV48012A;ES21300012M48012A;PLAYA DE BAKIO;48.012;Bakio;48;BIZKAIA;Bakio.pdf;515.589;4.808.691
556;MPV48085A;ES21300085M48085A;PLAYA DE BARINATXE (SOLANDOTES);48.085;Sopelana;48;BIZKAIA;Barinatxe-Solandotes.pdf;499.546;4.803.507
523;MPV20029A;ES21200029M20029A;PLAYA DE DEBA;20.029;Deba;20;GIPUZKOA;Deba.pdf;552.483;4.794.158
545;MPV48028A;ES21300048M48028A;PLAYA DE EA;48.028;Ea;48;BIZKAIA;Ea.pdf;533.804;4.803.745
542;MPV48044A;ES21300044M48044A;PLAYA DE EREAGA;48.044;Getxo;48;BIZKAIA;Ereaga.pdf;498.840;4.798.864
526;MPV20039B;ES21200039M20039B;PLAYA DE GAZTETAPE;20.039;Getaria;20;GIPUZKOA;Gaztetape.pdf;564.393;4.794.868
541;MPV48043A;ES21300043M48043A;PLAYA DE GORLIZ;48.043;Gorliz;48;BIZKAIA;Gorliz.pdf;504.442;4.807.102
532;MPV20069A;ES21200069M20069A;PLAYA DE GROS/LA ZURRIOLA;20.069;Donostia / San Sebastián;20;GIPUZKOA;Gros-La_Zurriola.pdf;583.046;4.797.608
524;MPV20036A;ES21200036M20036A;PLAYA DE HONDARRIBIA;20.036;Hondarribia;20;GIPUZKOA;Hondarribia.pdf;597.658;4.803.707
549;MPV48057A;ES21300057M48057A;PLAYA DE ISUNTZA;48.057;Lekeitio;48;BIZKAIA;Isuntza.pdf;540.477;4.801.278
537;MPV20081B;ES21200081M20081B;PLAYA DE ITZURUN;20.081;Zumaia;20;GIPUZKOA;Itzurun.pdf;559.939;4.794.440
550;MPV48063A;ES21300063M48063A;PLAYA DE KARRASPIO;48.063;Mendexa;48;BIZKAIA;Karraspio.pdf;540.997;4.801.301
533;MPV20069B;ES21200069M20069B;PLAYA DE LA CONCHA;20.069;Donostia / San Sebastián;20;GIPUZKOA;La_Concha.pdf;581.879;4.796.445
547;MPV48048B;ES21300048M48048B;PLAYA DE LAGA;48.048;Ibarrangelu;48;BIZKAIA;Laga.pdf;527.487;4.806.378
546;MPV48048A;ES21300048M48048A;PLAYA DE LAIDA;48.048;Ibarrangelu;48;BIZKAIA;Laida.pdf;525.272;4.805.822
551;MPV48068A;ES21300068M48068A;PLAYA DE LAIDATXU;48.068;Mundaka;48;BIZKAIA;Laidatxu.pdf;524.507;4.805.776
